Questao,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D
39,"Mulher de 30 anos é encaminhada pelo médico da unidade básica de saúde (UBS) para avaliação com o ginecologista. Relata corrimento com odor fétido após o término da menstruação, nos últimos três ciclos menstruais, e apresenta o laudo da citologia cervical realizada na UBS: presença de epitélio escamoso e glandular, flora com lactobacilos e dentro dos limites da normalidade. Ao exame especular, observa-se corrimento abundante homogêneo, com vagina e colo uterino de aspecto normal e sem hiperemia. Teste com hidróxido de potássio, realizado na secreção vaginal, com a percepção de odor fétido e pH superior a 5,0. No exame a fresco da secreção vaginal, observam-se células guia (clue cells) no microscópio. Nesse caso, quais são, respectivamente, o diagnóstico e o tratamento a serem prescritos?","Vaginose citolítica; tratamento com banho de assento com bicarbonato de sódio.","Tricomoníase; tratamento com metronidazol por via oral, ou em forma de creme vaginal.","Candidíase; tratamento com miconazol creme vaginal, ou com fluconazol por via oral.","Vaginose bacteriana; tratamento com metronidazol por via oral, ou em forma de creme vaginal, ou com clindamicina creme."
40,"Homem de 45 anos, trabalhador da construção civil, comparece a uma unidade básica de saúde (UBS) devido à dor lombar iniciada há um mês, com piora progressiva, irradiada para o membro inferior direito, com maior intensidade ao final do expediente de trabalho, especialmente após carregar materiais pesados. Nega histórico de trauma, febre, perda de peso ou outros sintomas sistêmicos. Ao exame físico, há dor à palpação de musculatura paravertebral bilateral na região lombar, sem alterações neurológicas. Não há restrição de movimentos e a flexão está preservada. O exame de força e sensibilidade nos membros inferiores está normal, e os reflexos patelar e aquileu estão preservados. Lasègue negativo bilateralmente. Quais são as condutas adequadas a serem adotadas nesse caso?","Solicitar ressonância magnética da coluna lombar, devido à irradiação da dor para membro inferior; prescrever anti-inflamatório não esteroide associado a paracetamol.","Solicitar radiografia de coluna lombar, devido à duração e à irradiação da dor; prescrever corticoide sistêmico associado a paracetamol; encaminhar o paciente à fisioterapia.","Não solicitar exames complementares, devido à duração da dor e reflexos preservados; prescrever corticoide sistêmico associado a relaxante muscular; orientar repouso por 5 dias.","Não solicitar exames complementares, devido à ausência de sinais de alerta; orientar a prática de exercício físico; prescrever anti-inflamatório não esteroide associado a relaxante muscular."
41,"Homem de 22 anos comparece à unidade básica de saúde (UBS) com queixa de úlcera na região genital associada a 'íngua na virilha'. Ele afirma que, há cerca de 10 dias, observou lesão papular, única, indolor, localizada na glande. Em pouco tempo, essa lesão evoluiu para ulceração local. Ao exame físico, o paciente apresenta, na glande, úlcera única de fundo limpo e bordas elevadas, endurecidas e linfonodos inguinais palpáveis bilateralmente, não supurativos, móveis e indolores. Ao ser questionado, ele confirma ter tido relação sexual desprotegida cerca de 3 semanas antes do início dos primeiros sinais. Nesse caso, qual é o exame complementar indicado para o diagnóstico do paciente?","VDRL sérico (Venereal Disease Research Laboratory).","Cultura de secreção uretral em meio de Thayer-Martin.","Aspirado linfonodal com pesquisa de Haemophilus ducreyi.","Pesquisa de corpúsculos de Donovan em esfregaço da lesão."
42,"Mulher de 45 anos, sem comorbidades, é submetida a uma colecistectomia videolaparoscópica eletiva devido a colecistopatia crônica calculosa. O procedimento transcorre sem complicações, durando cerca de 40 minutos. No pós-operatório imediato, a paciente apresenta-se hemodinamicamente estável, com pressão arterial de 110 x 70 mmHg, frequência cardíaca de 82 bpm e saturação de oxigênio de 98% em ar ambiente. Nega náusea e relata dor leve em região abdominal. De acordo com os protocolos multimodais de recuperação pós-operatória (ERAS e ACERTO), qual é a conduta adequada em relação à alimentação dessa paciente?","Início de dieta líquida via oral após 6 horas do procedimento.","Início imediato de dieta via oral, de acordo com sua vontade.","Início de dieta via oral após 24 horas do procedimento.","Início imediato de dieta via oral, de forma escalonada."
43,"Adolescente de 15 anos com fibrose cística comparece ao pronto-socorro com aumento da tosse produtiva, expectoração purulenta e febre iniciada há três dias. Ele relata piora da dispneia, e sua mãe, que o acompanha, observa que ele tem tido mais dificuldade para realizar suas atividades diárias. Ao exame físico, o paciente apresenta moderado desconforto respiratório, com taquipneia (frequência respiratória de 32 irpm), sibilos bilaterais e diminuição do murmúrio vesicular nas bases pulmonares. A saturação de oxigênio em ar ambiente é de 87%. Considerando o quadro clínico apresentado, a abordagem inicial é","Internar o paciente; iniciar oxigenoterapia e antibioticoterapia de amplo espectro intravenosa; e solicitar cultura de escarro.","Internar o paciente; iniciar corticoterapia sistêmica; e realizar drenagem postural imediata com fisioterapia respiratória intensiva.","Realizar nebulização com broncodilatadores; prescrever antibioticoterapia oral domiciliar; e agendar acompanhamento em ambulatório especializado.","Realizar tomografia de tórax, gasometria arterial e exames séricos para avaliar melhor o grau de comprometimento pulmonar antes de iniciar tratamento."
44,"Homem de 50 anos, professor universitário, procura atendimento médico por apresentar dor em peso e queimação em membro inferior esquerdo, principalmente no final do dia. Relata que, ao chegar em casa e elevar os membros, sente melhora da dor. Ao exame físico, nota-se presença de varizes em região de panturrilha à esquerda, sem sinais de infecção ou outras alterações. Considerando o caso clínico descrito, assinale a alternativa que apresenta o diagnóstico e a conduta mais adequada.","Doença arterial periférica; iniciar antiagregante plaquetário e estatina.","Doença arterial periférica; solicitar ultrassonografia doppler e encaminhar ao cirurgião vascular.","Doença venosa crônica; recomendar uso de meia elástica e elevação do membro.","Doença venosa crônica; prescrever heparina de baixo peso molecular e solicitar angiotomografia."
45,"Mulher de 25 anos, no segundo trimestre de gestação, comparece à consulta de pré-natal na unidade básica de saúde (UBS) apresentando resultados de exames laboratoriais. Ao verificar os resultados, o médico constata que o exame de urina tipo I evidenciou leucocitúria e bacteriúria significativa, sendo positivo para Escherichia coli em urocultura, com contagem de colônias de 10⁵ UFC/mL. A gestante está assintomática. Diante do caso, qual é a conduta mais adequada?","Repetir o exame de urina tipo I após 1 semana para confirmar o diagnóstico.","Prescrever antibioticoterapia, mesmo na ausência de sintomas.","Aguardar o aparecimento de sintomas urinários para iniciar tratamento.","Solicitar exame de urina tipo I e urocultura com antibiograma para a mãe e o parceiro sexual."
46,"Recém-nascido, com 12 horas de vida, nascido a termo, parto vaginal, com líquido amniótico meconial, apresenta cianose de extremidades e frequência respiratória de 70 irpm. Não houve necessidade de reanimação ao nascimento. O exame físico evidencia gemido expiratório, tiragem subcostal e batimento de asa nasal. A ausculta pulmonar apresenta murmúrio vesicular universalmente diminuído, com estertores finos bilaterais. Considerando o quadro clínico apresentado, assinale a alternativa que apresenta a principal hipótese diagnóstica e a conduta imediata.","Síndrome da aspiração meconial; iniciar oxigenioterapia e observar a evolução clínica.","Taquipneia transitória do recém-nascido; solicitar gasometria arterial e iniciar antibioticoterapia empírica.","Síndrome da aspiração meconial; solicitar radiografia de tórax e iniciar ventilação com pressão positiva contínua.","Taquipneia transitória do recém-nascido; iniciar ventilação mecânica invasiva com fração inspirada de oxigênio (FiO2) de 100%."
47,"Menina de 3 anos é levada para atendimento médico com queixa de dor no ouvido direito há 2 dias. A mãe relata que a criança teve febre nas últimas 24 horas e apresenta secreção purulenta no ouvido afetado. Ao exame físico, a criança encontra-se febril (temperatura axilar de 38,5 ºC), ativa, com otorreia purulenta à direita e hiperemia de conduto auditivo externo. A membrana timpânica está íntegra. Não há alterações no ouvido esquerdo, nem outros sinais e sintomas associados. Com base no quadro clínico, assinale a alternativa que apresenta, respectivamente, o diagnóstico e o tratamento adequado.","Otite externa aguda; limpeza do conduto auditivo e prescrição de analgésico e antibiótico tópico.","Otite média aguda; prescrição de antibiótico oral e corticoide sistêmico.","Otite externa aguda; prescrição de antibiótico oral e analgésico.","Otite média aguda; prescrição de antibiótico tópico e lavagem do conduto auditivo."
48,"Homem de 25 anos procura atendimento em uma unidade básica de saúde (UBS) para realizar testagem rápida para infecções sexualmente transmissíveis (IST). Relata relação sexual desprotegida com uma parceira desconhecida há 3 semanas. O teste rápido realizado para HIV foi positivo. O paciente é encaminhado para serviço especializado, que confirma a infecção. Está assintomático e com carga viral indetectável. Nesse caso, a conduta correta é","Iniciar tratamento antirretroviral apenas se a contagem de linfócitos T CD4+ for menor que 500 células/mm³.","Aguardar a soroconversão completa antes de iniciar o tratamento antirretroviral.","Iniciar tratamento antirretroviral imediatamente, independentemente da contagem de CD4+.","Repetir o teste de HIV em 30 dias para confirmar o diagnóstico antes de iniciar o tratamento."
49,"Recém-nascido, com 12 horas de vida, nascido a termo, parto vaginal, Apgar 9/10, apresenta boa vitalidade e está em aleitamento materno exclusivo. A equipe de saúde percebe que o bebê apresenta icterícia visível em face e tronco, sem outras alterações clínicas. Diante disso, assinale a alternativa que apresenta a conduta adequada.","Solicitar bilirrubinas séricas e considerar fototerapia, conforme idade e curva de bilirrubina.","Iniciar fototerapia imediatamente por se tratar de recém-nascido a termo.","Realizar exsanguineotransfusão em banco de sangue e iniciar fototerapia intensiva.","Aguardar 24 horas e, se a icterícia persistir, realizar exames laboratoriais."
50,"Paciente de 40 anos, sexo masculino, apresenta quadro de dor torácica em queimação retroesternal há 3 meses, que piora após refeições e melhora com uso de antiácidos. Refere pirose frequente e sensação de regurgitação. Ao exame físico, o paciente apresenta-se em bom estado geral e sem alterações significativas. Com base na história clínica, assinale a alternativa que apresenta o diagnóstico mais provável e a conduta inicial.","Úlcera gástrica; iniciar inibidor de bomba de prótons e agendar endoscopia digestiva alta.","Doença do refluxo gastroesofágico; iniciar tratamento empírico com inibidor de bomba de prótons.","Dispepsia funcional; iniciar procinético e investigar H. pylori.","Esofagite eosinofílica; solicitar endoscopia digestiva alta com biópsia."
51,"Adolescente de 13 anos é atendida na unidade básica de saúde (UBS) com queixa de dor pélvica cíclica e progressiva há 6 meses. Relata menarca aos 11 anos e ciclos regulares, com menstruações acompanhadas de dor intensa. A mãe refere que a filha está faltando à escola nos períodos menstruais. Ao exame físico, apresenta abdome doloroso à palpação profunda na região hipogástrica. Não há sinais de infecção urinária e o teste de gravidez é negativo. Considerando a hipótese de endometriose, assinale a conduta mais adequada.","Solicitar ultrassonografia transvaginal com preparo intestinal e iniciar anticoncepcional oral combinado.","Iniciar anti-inflamatório não esteroide e acompanhar por 3 ciclos menstruais antes de investigar.","Encaminhar imediatamente para videolaparoscopia diagnóstica.","Solicitar ressonância magnética de pelve com contraste."
52,"Mulher de 70 anos é atendida em consulta ambulatorial na unidade básica de saúde (UBS), acompanhada por seu neto, com queixa de perda de memória progressiva, dificuldade para realizar tarefas cotidianas e episódios de desorientação. O neto relata que a avó repete as mesmas perguntas com frequência e se esquece de compromissos importantes. Ao exame, a paciente está orientada no tempo e no espaço, mas apresenta dificuldade em lembrar palavras e executar comandos simples. Diante do quadro clínico, assinale a alternativa que apresenta o diagnóstico mais provável e a conduta inicial.","Demência vascular; solicitar tomografia de crânio e iniciar estatina.","Depressão; iniciar antidepressivo e acompanhamento psicológico.","Doença de Alzheimer; iniciar inibidor de acetilcolinesterase e investigação complementar.","Delirium; investigar causas orgânicas e evitar medicações com ação no sistema nervoso central."
